#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
1,82,Универзитет у Приштини,"Правни факултет, Косовска Митровица",Државни факултет,16,ОАС,Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,60000,1000,240,612-02-02690/2013-04,11.07.2014.,200,75,90,103,114,,,54,92,108,318,,,0,0,0,0,,,42,104,0,382,572,0,954,8,4,104,129,182,211,432,,,DH,Државни факултет,432
16,15,Универзитет у Београду,Машински факултет,Државни факултет,20,Машинско инжењерство,Инжењер машинства,Техничко-технолошке науке,Основне академске,72000,1800,180,612-00-01119/2017-06,26/05/2017,720,488,326,460,,,,274,311,507,,,,11,3,5,,,,378,1113,25,1274,1092,19,2385,6,3,1138,773,640,972,,,,TT,Државни факултет,972
19,21,Универзитет у Београду,Хемијски факултет,Државни факултет,23,Хемичар (2008),Дипломирани хемичар,Природно-математичке науке,Основне академске,90000,2500,240,,,,0,0,26,38,,,0,10,48,48,,,0,0,0,0,,,46,,,64,106,0,170,8,4,,0,10,74,86,,,PM,Државни факултет,86
20,21,Универзитет у Београду,Хемијски факултет,Државни факултет,24,Биохемичар (2008),Биохемичар,Природно-математичке науке,Основне академске,90000,2500,240,,,,0,0,15,19,,,0,7,10,30,,,0,0,0,0,,,25,,,34,47,0,81,8,4,,0,7,25,49,,,PM,Државни факултет,49
23,21,Универзитет у Београду,Хемијски факултет,Државни факултет,27,Биохемија (2014),Дипломирани биохемичар,Природно-математичке науке,Основне академске,102000,2500,240,612-00-00495/2013-04,08/11/2013,50,45,27,28,42,,,25,25,17,28,,,1,1,0,0,,,28,63,0,142,95,2,239,8,4,63,71,53,45,70,,,PM,Државни факултет,70
31,60,Универзитет у Новом Саду,"Економски факултет, Суботица",Државни факултет,1884,Европска и међународна економија и бизнис (240 ЕСПБ),Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,96000,1900,240,612-00-01308/2012-04,25.10.2013,140,53,23,45,72,,,22,14,12,16,,,,,,,,,23,51,0,193,64,0,257,8,4,51,,,,,,,DH,Државни факултет,
32,27,Универзитет у Београду,Шумарски факултет,Државни факултет,48,Шумарство,Дипломирани инжењер шумарства,Техничко-технолошке науке,Основне академске,72000,1500,240,612-00-660/2/2008-04,11.12.2008.,120,103,61,60,80,,,32,75,56,207,,,0,0,0,0,,,44,96,9,304,370,0,674,8,4,105,135,136,116,287,,,TT,Државни факултет,287
33,27,Универзитет у Београду,Шумарски факултет,Државни факултет,49,"Технологије, менаџмент и пројектовање намештаја и производа од дрвета",Дипломирани инжењер шумарства,Техничко-технолошке науке,Основне академске,72000,1500,240,612-00-660/14/2008-04,18.12.2008.,100,70,35,35,58,,,26,37,21,141,,,0,0,0,0,,,18,56,14,198,225,0,423,8,4,70,96,72,56,199,,,TT,Државни факултет,199
34,27,Универзитет у Београду,Шумарски факултет,Државни факултет,50,Пејзажна архитектура,Дипломирани инжењер шумарства,Техничко-технолошке науке,Основне академске,72000,1500,240,612-00-660/14/2008-04,18.12.2008.,65,42,40,46,57,,,32,26,19,105,,,0,1,0,0,,,58,71,0,185,182,1,368,8,4,71,74,67,65,162,,,TT,Државни факултет,162
35,40,Универзитет у Крагујевцу,"Факултет техничких наука, Чачак",Државни факултет,56,Мехатроника,Дипломирани инжењер мехатронике,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,81000,1500,240,612-00-02629/2013-04,09/04/2014,30,18,6,8,10,,,10,6,3,12,,,0,0,0,0,,,11,25,6,42,31,0,73,8,4,31,28,12,11,22,,,IMT,Државни факултет,22
36,40,Универзитет у Крагујевцу,"Факултет техничких наука, Чачак",Државни факултет,55,Електротехничко и рачунарско инжењерство,Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,81000,1500,240,612-00-02629/2013-04,23/05/2014,80,46,20,32,63,,,13,17,18,88,,,0,0,0,1,,,38,50,10,161,136,1,298,8,4,60,59,37,50,152,,,TT,Државни факултет,152
37,73,Универзитет у Новом Саду,"Учитељски факултет на мађарском наставном језику, Суботица",Државни факултет,61,Дипломирани учитељ,Дипломирани учитељ,Друштвено-хуманистичке науке,Основне академске,50000,2300,240,612-00-00067/2014-04,13/06/2014,35,20,11,19,32,,,7,2,1,3,,,0,0,0,0,,,22,30,4,82,13,0,95,8,4,34,27,13,20,35,,,DH,Државни факултет,35
38,73,Универзитет у Новом Саду,"Учитељски факултет на мађарском наставном језику, Суботица",Државни факултет,62,Дипломирани васпитач,Дипломирани васпитач,Друштвено-хуманистичке науке,Основне академске,50000,2300,240,612-00-00067/2014-04,13/06/2014,20,15,9,9,13,,,1,1,4,0,,,0,0,0,0,,,10,15,0,46,6,0,52,8,4,15,16,10,13,13,,,DH,Државни факултет,13
39,40,Универзитет у Крагујевцу,"Факултет техничких наука, Чачак",Државни факултет,63,Инжењерски менаџмент,Дипломирани инжењер менаџмента,Техничко-технолошке науке,Основне академске,81000,1500,240,612-00-02629/2013-04,21/03/2014,30,25,16,29,40,,,0,5,1,15,,,0,0,0,0,,,13,25,1,110,21,0,131,8,4,26,25,21,30,55,,,TT,Државни факултет,55
40,40,Универзитет у Крагујевцу,"Факултет техничких наука, Чачак",Државни факултет,64,Техника и информатика,Мастер професор технике и информатике,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Интегр. академске,81000,1500,300,612-00-02629/2013-04,27/06/2014,30,10,5,4,7,17,,5,6,6,3,21,,0,0,0,0,0,,28,12,1,43,41,0,84,10,5,13,15,11,10,10,38,,IMT,Државни факултет,38
42,40,Универзитет у Крагујевцу,"Факултет техничких наука, Чачак",Државни факултет,66,Информационе технологије,Дипломирани инжењер информационих технологија,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,81000,1500,240,612-00-02629/2013-04,21/03/2014,130,110,92,65,87,,,30,20,21,47,,,0,0,0,0,,,34,191,0,354,118,0,472,8,4,191,140,112,86,134,,,IMT,Државни факултет,134
44,40,Универзитет у Крагујевцу,"Факултет техничких наука, Чачак",Државни факултет,108,Предузетнички менаџмент,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,81000,1500,240,612-00-02629/2013-04,04/04/2014,45,15,8,17,31,,,6,4,1,22,,,0,0,0,0,,,23,21,2,71,33,0,104,8,4,23,21,12,18,53,,,DH,Државни факултет,53
45,51,Универзитет у Нишу,Факултет заштите на раду,Државни факултет,70,Заштита животне средине ОАС4,Дипломирани инжењер заштите животне средине,Техничко-технолошке науке,Основне академске,72000,1500,240,621-00-0072/2014-04,09/05/2014,180,57,33,34,85,,,8,9,25,173,,,0,0,0,0,,,52,37,16,209,215,0,424,8,4,53,65,42,59,258,,,TT,Државни факултет,258
46,51,Универзитет у Нишу,Факултет заштите на раду,Државни факултет,71,Заштита на раду ОАС4,Дипломирани инжењер заштите животне средине,Техничко-технолошке науке,Основне академске,72000,900,240,621-00-0072/2014-04,09/05/2014,180,101,47,50,88,,,6,17,24,172,,,0,0,0,0,,,54,109,8,286,219,0,505,8,4,117,107,64,74,260,,,TT,Државни факултет,260
54,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,317,Енглески језик и књижевност,Дипломирани филолог - англиста,Друштвено-хуманистичке науке,Основне академске,96000,2000,240,612-00-00887/2013-04,23/05/2014,70,42,56,46,64,,,34,9,10,49,,,,,,,,,60,167,0,208,102,0,310,8,4,167,,,,,,,DH,Државни факултет,
55,71,Универзитет у Новом Саду,Технолошки факултет,Државни факултет,97,Биотехнологија,Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,65000,3000,240,612-001141/2012-04,08/03/2013,66,53,29,17,39,,,13,22,24,76,,,0,0,0,0,,,11,67,0,138,135,0,273,8,4,67,66,51,41,115,,,TT,Државни факултет,115
58,45,Универзитет у Крагујевцу,"Факултет за хотелијерство и туризам, Врњачка Бања",Државни факултет,100,хотелијерство и туризам,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,80000,1300,240,612-00-00656/2012-04,14.06.2013,100,60,67,70,69,,,53,39,25,10,,,1,,2,,,,77,131,0,266,127,3,396,8,4,131,114,,97,,,,DH,Државни факултет,
60,42,Универзитет у Крагујевцу,"Учитељски факултет, Ужице",Државни факултет,446,Учитељ,Дипломирани учитељ,Друштвено-хуманистичке науке,Основне академске,80000,0,240,612-00-00020/2014-04,04/07/2014,105,45,57,93,92,95,,9,12,24,33,,,0,0,0,0,,,84,26,13,382,78,0,460,8,4,39,54,69,117,125,,,DH,Државни факултет,125
61,37,Универзитет у Крагујевцу,Факултет инжењерских наука,Државни факултет,104,Машинско инжењерство ОАС,Инжењер машинства,Техничко-технолошке науке,Основне академске,50000,1500,180,612-00-00595/2013-04,24/05/2013,240,187,76,123,,,,52,64,206,,,,,,,,,,99,182,21,386,322,0,708,6,3,203,,,,,,,TT,Државни факултет,
70,37,Универзитет у Крагујевцу,Факултет инжењерских наука,Државни факултет,114,Војноиндустријско инжењерство ОАС,Дипломирани инжењер индустријског инжењерства,Техничко-технолошке науке,Основне академске,50000,1500,240,612-00-00347/2015-04,20/03/2015,40,33,23,15,42,,,6,11,6,28,,,,,,,,,18,36,4,113,51,0,164,8,4,40,,,,,,,TT,Државни факултет,
81,37,Универзитет у Крагујевцу,Факултет инжењерских наука,Државни факултет,127,Аутомобилско инжењерство ОАС,Инжењер машинства,Техничко-технолошке науке,Основне академске,50000,1500,180,612-00-00595/2013-04,24/05/2013,40,10,1,10,,,,2,1,8,,,,,,,,,,7,9,1,21,11,0,32,6,3,10,,,,,,,TT,Државни факултет,
84,37,Универзитет у Крагујевцу,Факултет инжењерских наука,Државни факултет,136,Урбано инжењерство,Дипломирани инжењер урбанизма,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,50000,1500,240,612-00-00595/2013-04,24/05/2013,40,16,8,12,32,,,2,11,5,14,,,,,,,,,6,17,2,68,32,0,100,8,4,19,,,,,,,IMT,Државни факултет,
88,64,Универзитет у Новом Саду,"Грађевински факултет, Суботица",Државни факултет,151,"Грађевинарство (2013, ОАС)",Дипломирани инжењер грађевинарства,Техничко-технолошке науке,Основне академске,72000,1500,240,612-00-00897/2014-04,27/06/2013,104,68,33,31,106,,,5,13,17,57,,,0,0,0,0,,,40,32,37,238,92,0,330,8,4,69,73,46,48,163,,,TT,Државни факултет,163
91,46,Универзитет у Нишу,Економски факултет,Државни факултет,159,"Рачуноводство, ревизија и финансијско управљање",Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,90000,1500,240,612-00-00684/2013-04,30.08.2013.,100,35,28,60,78,,,16,20,13,141,,,0,0,0,0,,,43,41,2,201,190,0,391,8,4,43,51,48,73,219,,,DH,Државни факултет,219
92,46,Универзитет у Нишу,Економски факултет,Државни факултет,158,Општа економија,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,90000,1500,240,612-00-00684/2013-04,30.08.2013.,70,5,4,6,20,,,14,5,9,56,,,0,0,0,0,,,17,9,2,35,84,0,119,8,4,11,19,9,15,76,,,DH,Државни факултет,76
93,38,Универзитет у Крагујевцу,Природно-математички факултет,Државни факултет,160,математика,Дипломирани математичар,Природно-математичке науке,Основне академске,72000,2500,240,612-00-00919/2016-06,17/06/2016,50,29,22,23,49,,,15,7,4,48,,,0,0,0,0,,,34,29,1,123,74,0,197,8,4,30,44,29,27,97,,,PM,Државни факултет,97
94,46,Универзитет у Нишу,Економски факултет,Државни факултет,161,"Финансије, банкарство и осигурање",Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,90000,1500,240,612-00-00684/2013-04,30.08.2013.,250,52,27,57,105,,,48,24,42,316,,,0,0,0,0,,,126,68,7,241,430,0,671,8,4,75,100,51,99,421,,,DH,Државни факултет,421
95,38,Универзитет у Крагујевцу,Природно-математички факултет,Државни факултет,162,информатика,Дипломирани информатичар,Природно-математичке науке,Основне академске,72000,2500,240,612-00-00919/2016-06,17/06/2016,100,104,42,42,33,,,45,22,23,42,,,0,0,0,0,,,17,147,0,221,132,0,353,8,4,147,149,64,65,75,,,PM,Државни факултет,75
96,38,Универзитет у Крагујевцу,Природно-математички факултет,Државни факултет,163,физика,Дипломирани физичар,Природно-математичке науке,Основне академске,72000,2500,240,612-00-00658/2103-04,13/09/2013,25,26,3,6,15,,,2,2,4,28,,,0,0,0,0,,,9,19,7,50,36,0,86,8,4,26,28,5,10,43,,,PM,Државни факултет,43
97,38,Универзитет у Крагујевцу,Природно-математички факултет,Државни факултет,164,хемија,Дипломирани хемичар,Природно-математичке науке,Основне академске,72000,2500,240,612-00-00658/2013-04,08/11/2013,65,56,29,38,55,,,2,3,14,59,,,0,0,0,0,,,26,38,6,178,78,0,256,8,4,44,58,32,52,114,,,PM,Државни факултет,114
98,38,Универзитет у Крагујевцу,Природно-математички факултет,Државни факултет,165,Биологија,Дипломирани биолог,Природно-математичке науке,Основне академске,72000,2500,240,612-00-02092/2011-04,08/06/2012,35,34,26,21,25,,,5,10,10,67,,,0,0,0,0,,,20,34,4,106,92,0,198,8,4,38,39,36,31,92,,,PM,Државни факултет,92
99,38,Универзитет у Крагујевцу,Природно-математички факултет,Државни факултет,166,Екологија,Дипломирани еколог,Природно-математичке науке,Основне академске,72000,2500,240,612-00-02092/2011-04,08/06/2012,40,40,24,21,28,,,5,8,7,74,,,0,0,0,0,,,24,38,0,113,94,0,207,8,4,38,45,32,28,102,,,PM,Државни факултет,102
112,46,Универзитет у Нишу,Економски факултет,Државни факултет,179,Пословно управљање,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,90000,1500,240,612-00-00684/2013-04,30.08.2013.,280,238,131,117,242,,,76,63,65,308,,,0,0,0,0,,,134,333,0,728,512,0,1240,8,4,333,314,194,182,550,,,DH,Државни факултет,550
113,15,Универзитет у Београду,Машински факултет,Државни факултет,180,Машинско инжењерство (настава на енглеском језику),Инжењер машинства,Техничко-технолошке науке,Основне академске,1200000,10000,180,612-00-01119/2017-06,26/05/2017,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,6,3,0,0,0,0,,,,TT,Државни факултет,0
116,64,Универзитет у Новом Саду,"Грађевински факултет, Суботица",Државни факултет,183,"Конструкције и материјали (2008, ОАС)",Дипломирани инжењер грађевинарства,Техничко-технолошке науке,Основне академске,72000,1500,240,612-00-01431/3/2007-04,19/05/2008,72,0,0,0,1,,,0,0,1,53,,,0,0,0,0,,,18,0,0,1,54,0,55,8,4,0,0,0,1,54,,,TT,Државни факултет,54
117,64,Универзитет у Новом Саду,"Грађевински факултет, Суботица",Државни факултет,184,"Хидротехника и водно инжењерство околине (2008, ОАС)",Дипломирани инжењер грађевинарства,Техничко-технолошке науке,Основне академске,72000,1500,240,612-00-01431/6/2007-04,19/05/2008,72,0,0,0,0,,,0,0,0,15,,,0,0,0,0,,,8,0,0,0,15,0,15,8,4,0,0,0,0,15,,,TT,Државни факултет,15
119,36,Универзитет у Крагујевцу,"Факултет за машинство и грађевинарство, Краљево",Државни факултет,187,Машинско инжењерство,Дипломирани инжењер машинства,Техничко-технолошке науке,Основне академске,40000,1500,240,612-00-02498/2013-04,04/04/2014,120,65,31,23,54,,,23,36,58,11,,,,,,,,,45,53,18,173,128,0,301,8,4,71,,,,,,,TT,Државни факултет,
122,36,Универзитет у Крагујевцу,"Факултет за машинство и грађевинарство, Краљево",Државни факултет,190,Грађевинско инжењерство,Инжењер грађевинарства,Техничко-технолошке науке,Основне академске,40000,1500,180,612-00-00972/2016-06,28/10/2016,60,44,27,39,,,,8,20,57,,,,,,,,,,10,38,12,110,85,0,195,6,3,50,,,,,,,TT,Државни факултет,
123,18,Универзитет у Београду,Факултет за физичку хемију,Државни факултет,191,ОАС4 - ФИЗИЧКА ХЕМИЈА,Дипломирани физикохемичар,Природно-математичке науке,Основне академске,69900,1800,240,612-00-00181/2014-04,20/06/2014,100,69,36,29,42,,,52,64,58,68,,,0,0,0,0,,,34,91,5,176,242,0,418,8,4,96,121,100,87,110,,,PM,Државни факултет,110
130,21,Универзитет у Београду,Хемијски факултет,Државни факултет,198,Хемија (2014),Дипломирани хемичар,Природно-математичке науке,Основне академске,102000,2500,240,612-00-00495/2013-04,05/07/2013,80,62,38,47,42,,,19,41,46,49,,,0,1,0,0,,,39,110,7,189,155,1,345,8,4,117,81,80,93,91,,,PM,Државни факултет,91
133,21,Универзитет у Београду,Хемијски факултет,Државни факултет,201,Хемичар за животну средину (2008),Дипломирани хемичар,Природно-математичке науке,Основне академске,90000,2500,240,,,,0,0,11,16,,,0,4,10,11,,,0,0,0,0,,,11,,,27,25,0,52,8,4,,0,4,21,27,,,PM,Државни факултет,27
134,21,Универзитет у Београду,Хемијски факултет,Државни факултет,202,Хемија животне средине (2014),Дипломирани хемичар,Природно-математичке науке,Основне академске,102000,2500,240,612-00-00495/2013-04,08/11/2013,30,16,11,7,12,,,12,16,11,10,,,0,0,0,0,,,12,28,0,46,49,0,95,8,4,28,28,27,18,22,,,PM,Државни факултет,22
136,21,Универзитет у Београду,Хемијски факултет,Државни факултет,204,Професор хемије (2008),Дипломирани хемичар,Природно-математичке науке,Основне академске,90000,2500,240,,,,0,1,7,16,,,0,0,6,9,,,0,0,0,0,,,4,,,24,15,0,39,8,4,,0,1,13,25,,,PM,Државни факултет,25
137,21,Универзитет у Београду,Хемијски факултет,Државни факултет,205,Настава хемије (2014),Мастер професор хемије,Природно-математичке науке,Интегр. академске,102000,2500,300,612-00-00495/2013-04,27/06/2014,25,7,2,2,6,6,,6,3,5,10,3,,0,0,0,0,0,,16,5,1,23,27,0,50,10,5,6,13,5,7,16,9,,PM,Државни факултет,9
138,71,Универзитет у Новом Саду,Технолошки факултет,Државни факултет,206,Прехрамбено инжењерство,Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,65000,3000,240,612-001141/2012-04,22/02/2013,100,58,28,27,32,,,23,33,36,92,,,0,0,0,0,,,35,56,0,145,184,0,329,8,4,56,81,61,63,124,,,TT,Државни факултет,124
141,71,Универзитет у Новом Саду,Технолошки факултет,Државни факултет,209,Фармацеутско инжењерство,Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,65000,3000,240,612-001141/2012-04,22/02/2013,44,32,20,10,11,,,12,18,20,55,,,0,0,0,0,,,23,41,1,73,105,0,178,8,4,42,44,38,30,66,,,TT,Државни факултет,66
144,71,Универзитет у Новом Саду,Технолошки факултет,Државни факултет,212,Хемијско инжењерство,Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,65000,3000,240,612-001141/2012-04,01/02/2013,50,35,13,14,25,,,21,8,10,41,,,0,0,0,0,,,20,42,0,87,80,0,167,8,4,42,56,21,24,66,,,TT,Државни факултет,66
148,84,Универзитет уметности у Београду,Факултет драмских уметности,Државни факултет,2222,"Менаџмент и продукција позоришта, радија и културе",Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,220000,3726,240,612-00-00750/2015-06,13/05/2016,15,10,14,,,,,3,0,,,,,0,0,,,,,0,18,0,24,3,0,27,8,4,18,13,14,,,,,DH,Државни факултет,
154,28,Универзитет у Београду,Технички факултет (Бор),Државни факултет,244,Инжењерски менаџмент,Дипломирани инжењер менаџмента,Техничко-технолошке науке,Основне академске,50000,2000,240,612-00-02252/2013-04,17/01/2014,120,100,42,35,41,,,10,15,26,13,,,0,0,0,0,,,35,27,0,218,64,0,282,8,4,27,110,57,61,54,,,TT,Државни факултет,54
155,28,Универзитет у Београду,Технички факултет (Бор),Државни факултет,247,Рударско инжењерство,Дипломирани инжењер рударства,Техничко-технолошке науке,Основне академске,50000,2000,240,612-00-02252/2013-04,27/12/2013,40,33,35,11,24,,,9,7,10,12,,,0,0,0,0,,,16,13,0,103,38,0,141,8,4,13,42,42,21,36,,,TT,Државни факултет,36
156,28,Универзитет у Београду,Технички факултет (Бор),Државни факултет,248,Металуршко инжењерство,Дипломирани инжењер металургије,Техничко-технолошке науке,Основне академске,50000,2000,240,612-00-02252/2013-04,31/01/2014,20,17,4,4,7,,,5,5,1,0,,,0,0,0,0,,,8,8,0,32,11,0,43,8,4,8,22,9,5,7,,,TT,Државни факултет,7
157,28,Универзитет у Београду,Технички факултет (Бор),Државни факултет,249,Технолошко инжењерство,Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,50000,2000,240,612-00-02252/2013-04,07/03/2014,60,50,33,24,16,,,9,21,23,17,,,0,0,0,0,,,19,13,0,123,70,0,193,8,4,13,59,54,47,33,,,TT,Државни факултет,33
162,15,Универзитет у Београду,Машински факултет,Државни факултет,2397,Информационе технологије у машинству,Инжењер машинства,Техничко-технолошке науке,Основне академске,180000,1800,180,6 I 2-00-00160/10/20 I 8-03,16/04/2019,60,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,6,3,0,,,,,,,TT,Државни факултет,
170,89,Државни Универзитет у Новом Пазару,Департман за правне науке,Државни факултет,1778,Право (ОАС),Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,50000,420,240,612-00-00781/2015-06,18/12/2015,100,40,78,80,80,,,101,79,71,67,,,5,0,2,0,,,7,57,0,278,318,7,603,8,4,57,146,157,153,147,,,DH,Државни факултет,147
171,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,292,OАС Филозофије,Дипломирани филозоф,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00676/2013-04,24/10/2014,30,21,11,3,12,,,12,7,4,36,,,0,0,0,0,,,11,19,4,47,59,0,106,8,4,23,33,18,7,48,,,DH,Државни факултет,48
172,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,293,ОАС Педагогије,Дипломирани педагог,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00676/2013-04,04/07/2014,50,32,32,36,68,,,27,15,6,36,,,0,0,0,0,,,34,60,0,168,84,0,252,8,4,60,59,47,42,104,,,DH,Државни факултет,104
173,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,294,OAС Социологије,Дипломирани социолог,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00676/2013-04,04/07/2014,50,30,7,18,35,,,43,20,11,82,,,0,0,0,0,,,24,30,1,90,156,0,246,8,4,31,73,27,29,117,,,DH,Државни факултет,117
174,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,295,ОАС  Историје,Дипломирани историчар,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00676/2013-04,04/07/2014,50,30,5,17,40,,,19,14,11,110,,,0,0,0,0,,,27,36,3,92,154,0,246,8,4,39,49,19,28,150,,,DH,Државни факултет,150
175,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,296,ОАС Новинарства,Дипломирани новинар/журналиста,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00676/2013-04,04/07/2014,50,20,32,33,61,,,32,12,6,73,,,0,0,0,0,,,33,36,3,146,123,0,269,8,4,39,52,44,39,134,,,DH,Државни факултет,134
176,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,297,ОАС Психологије,Дипломирани психолог,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00676/2013-04,04/07/2014,90,42,59,70,91,,,68,30,35,169,,,0,0,0,1,,,59,184,0,262,302,1,565,8,4,184,110,89,105,261,,,DH,Државни факултет,261
177,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,298,ОАС Руског језика и књижевности,Дипломирани филолог,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00676/2013-04,17/04/2015,20,11,5,9,18,,,6,0,5,20,,,0,0,0,0,,,12,16,0,43,31,0,74,8,4,16,17,5,14,38,,,DH,Државни факултет,38
178,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,299,ОАС Англистике,Дипломирани филолог,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00676/2013-04,14/11/2014,90,40,48,55,69,,,62,26,23,120,,,0,0,0,0,,,55,180,0,212,231,0,443,8,4,180,102,74,78,189,,,DH,Државни факултет,189
179,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,300,ОАС Србистике,Дипломирани филолог,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00676/2013-04,20/02/2015,90,41,24,34,68,,,23,21,23,182,,,0,0,0,0,,,54,32,4,167,249,0,416,8,4,36,64,45,57,250,,,DH,Државни факултет,250
180,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,301,Психологија,Дипломирани психолог,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-00054/5/2018-03,28/09/2018,50,26,21,19,55,,,13,18,18,107,,,0,0,0,0,,,10,29,5,121,156,0,277,8,4,34,39,39,37,162,,,DH,Државни факултет,162
181,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,302,ОАС Француског језика и књижевности,Дипломирани филолог,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00997/2011-04,14/06/2013,30,15,14,14,23,,,0,10,10,15,,,0,0,0,0,,,18,14,0,66,35,0,101,8,4,14,15,24,24,38,,,DH,Државни факултет,38
182,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,303,Педагогија,Дипломирани педагог,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-00699/2013-04,29/11/2013,50,19,16,12,35,,,2,18,28,56,,,0,0,0,0,,,20,18,7,82,104,0,186,8,4,25,21,34,40,91,,,DH,Државни факултет,91
183,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,304,Историја,Дипломирани историчар,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-00699/2013-04,29/11/2013,30,15,6,11,22,,,6,5,14,37,,,0,0,0,0,,,4,13,3,54,62,0,116,8,4,16,21,11,25,59,,,DH,Државни факултет,59
184,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,305,Српска филологија: Српски језик и књижевност,Дипломирани филолог србиста - српски језик и књижевност,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,09/05/2014,60,38,23,34,47,,,14,9,8,52,,,,,,,,,44,31,2,142,83,0,225,8,4,33,,,,,,,DH,Државни факултет,
